# file	function	callee	count
launcher/main/apps/sand/tests/suite_sand_liquid_depth.c	wake_test_run	malloc	4
launcher/main/apps/sand/tests/suite_sand_locality.c	CROSS_BLOCK_COLS	free	2
launcher/main/apps/sand/tests/suite_sand_locality.c	CROSS_BLOCK_COLS	malloc	2
launcher/main/apps/sand/tests/suite_sand_locality.c	STRESS_BLOCK_COLS	free	2
launcher/main/apps/sand/tests/suite_sand_locality.c	STRESS_BLOCK_COLS	malloc	2
launcher/main/apps/sand/tests/suite_sand_locality.c	XSPAN_W	free	2
launcher/main/apps/sand/tests/suite_sand_locality.c	XSPAN_W	malloc	2
launcher/main/apps/sand/tests/suite_sand_locality.c	loc_fixture	malloc	2
launcher/main/apps/sand/tests/suite_sand_locality.c	loc_free	free	2
launcher/main/apps/sand/tests/suite_sand_locality.c	pool_fixture	malloc	3
launcher/main/apps/sand/tests/suite_sand_locality.c	pool_free	free	3
launcher/main/apps/sand/tests/suite_sand_locality.c	test_block_indices_stay_in_range_after_flipping_a_settled_pile_at_the_real_size	free	2
launcher/main/apps/sand/tests/suite_sand_locality.c	test_block_indices_stay_in_range_after_flipping_a_settled_pile_at_the_real_size	malloc	2
launcher/main/apps/sand/tests/suite_sand_locality.c	test_block_indices_stay_in_range_for_a_falling_screen_of_water_at_the_real_size	free	2
launcher/main/apps/sand/tests/suite_sand_locality.c	test_block_indices_stay_in_range_for_a_falling_screen_of_water_at_the_real_size	malloc	2
launcher/main/apps/sand/tests/suite_sand_locality.c	test_two_separate_active_spots_in_the_same_block_row_do_not_wake_each_other	free	1
launcher/main/apps/sand/tests/suite_sand_locality.c	test_two_separate_active_spots_in_the_same_block_row_do_not_wake_each_other	malloc	1
launcher/main/apps/sand/tests/suite_sand_materials.c	pour_alloc	free	2
launcher/main/apps/sand/tests/suite_sand_materials.c	pour_alloc	malloc	2
launcher/main/apps/sand/tests/suite_sand_materials.c	pour_free	free	2
launcher/main/apps/sand/tests/suite_sand_materials.c	poured_height	free	1
launcher/main/apps/sand/tests/suite_sand_materials.c	poured_height	malloc	1
launcher/main/apps/sand/tests/suite_sand_materials.c	settled_surface_slope_q10	free	4
launcher/main/apps/sand/tests/suite_sand_materials.c	settled_surface_slope_q10	malloc	2
launcher/main/apps/sand/tests/suite_sand_materials.c	test_a_cascading_impulse_moves_more_than_one_cell	free	1
launcher/main/apps/sand/tests/suite_sand_materials.c	test_a_cascading_impulse_moves_more_than_one_cell	malloc	1
launcher/main/apps/sand/tests/suite_sand_materials.c	test_a_large_body_of_water_levels	free	1
