# file	function	callee	count
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_a_lava_burst_throws_grains_on_both_cores	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_a_settled_pile_under_two_core_stepping_shows_no_tile_seam	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_a_split_fluid_step_allocates_nothing	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_a_split_rising_body_of_gas_opens_no_gap	snprintf	2
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_a_step_hands_the_next_pass_no_marks_whatever_it_was_cut_by	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_each_quality_grid_takes_the_cut_its_travel_class_asks_for	snprintf	2
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_every_deferred_reaction_effect_is_applied_exactly_once	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_reaction_split_is_deterministic_across_seeds	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_reaction_split_matches_serial_on_a_zero_randomness_fire_chain	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_split_gas_equalise_keeps_seam_order	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_the_sharing_decision_is_the_same_whoever_drove_the_lanes	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_the_split_gas_passes_ignore_how_their_lanes_interleave	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_the_split_liquid_pass_ignores_how_its_lanes_interleave	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_the_split_reaction_pass_ignores_how_its_lanes_interleave	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_the_split_sweep_ignores_how_its_lanes_interleave	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_two_core_step_changes_the_draw_stream_at_the_smallest_split_quality	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_two_core_step_conserves_grains_on_a_dense_column_and_pile	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_two_core_step_does_not_leak_or_fabricate_mass	snprintf	1
launcher/main/apps/sand/tests/suite_sand_two_core.c	test_two_core_step_matches_serial_fall_distance_at_a_seam	snprintf	1
launcher/main/apps/sand/tools/brush_screen_preview.c	draw_screen	snprintf	1
launcher/main/apps/sand/tools/brush_screen_preview.c	main	fprintf	2
launcher/main/apps/sand/tools/brush_screen_preview.c	main	snprintf	2
launcher/main/apps/sand/tools/brush_screen_preview.c	print_gaps	printf	1
launcher/main/apps/sand/tools/brush_screen_preview.c	write_bmp	fprintf	2
launcher/main/apps/sand/tools/chunk_layout.c	board_open	fprintf	1
launcher/main/apps/sand/tools/chunk_layout.c	main	printf	2
launcher/main/apps/sand/tools/chunk_layout.c	measure	fprintf	1
launcher/main/apps/sand/tools/chunk_layout.c	measure_layout	printf	1
launcher/main/apps/sand/tools/chunk_layout.c	print_shipped_rank	printf	2
launcher/main/apps/sand/tools/chunk_layout.c	print_shortlist	printf	3
launcher/main/apps/sand/tools/chunk_layout.c	report_quality	printf	3
launcher/main/apps/sand/tools/colour_lever1_counters.c	report_scene	printf	3
launcher/main/apps/sand/tools/crossflow_bench.c	measure	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	adverb_exceptions_are_sound	fprintf	3
launcher/main/apps/sand/tools/dump_reactions.c	build_colored_list	snprintf	2
launcher/main/apps/sand/tools/dump_reactions.c	cause_at	fprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	cause_marked	snprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	causes_are_complete	fprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	collect_material_list	snprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_acid	printf	3
launcher/main/apps/sand/tools/dump_reactions.c	emit_acid_oil	snprintf	2
launcher/main/apps/sand/tools/dump_reactions.c	emit_acid_water	snprintf	2
launcher/main/apps/sand/tools/dump_reactions.c	emit_anatomy	printf	14
launcher/main/apps/sand/tools/dump_reactions.c	emit_anatomy	snprintf	8
launcher/main/apps/sand/tools/dump_reactions.c	emit_boils	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_burn	printf	8
launcher/main/apps/sand/tools/dump_reactions.c	emit_chills	snprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_cold	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_condense	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_crust	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_dissolve_row	snprintf	3
launcher/main/apps/sand/tools/dump_reactions.c	emit_dries	snprintf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_evaporates	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_flammability	snprintf	3
launcher/main/apps/sand/tools/dump_reactions.c	emit_grow	printf	3
launcher/main/apps/sand/tools/dump_reactions.c	emit_harden	printf	5
launcher/main/apps/sand/tools/dump_reactions.c	emit_heats_to	snprintf	2
launcher/main/apps/sand/tools/dump_reactions.c	emit_ignite	printf	6
launcher/main/apps/sand/tools/dump_reactions.c	emit_legend	printf	6
launcher/main/apps/sand/tools/dump_reactions.c	emit_material_section	printf	1
launcher/main/apps/sand/tools/dump_reactions.c	emit_pairwise_header	printf	4
launcher/main/apps/sand/tools/dump_reactions.c	emit_regrow	printf	6
