# generated by launcher/tools/complexity_gate.py --update-baseline
# score	file:line	function
12	launcher/main/apps/sand/tools/dump_reactions.c:1179	emit_burn
12	launcher/main/apps/sand/tools/grid_fingerprint.c:214	scene_sealed_lava
12	launcher/main/apps/sand/tools/shading_palette.c:757	plan_next
12	launcher/main/apps/sand/tools/shading_palette.c:1260	write_png
12	launcher/main/apps/sand/ui/sand_menu_screen.c:23	sand_menu_screen_draw
12	launcher/test/suites/suite_gfx_font.c:347	sim_walk_runs
12	launcher/test/suites/suite_gfx_font.c:307	test_row_run_rect_never_leaves_the_characters_own_row_extent
12	launcher/test/suites/suite_ui_pointer_microui.c:215	test_a_drag_moves_a_slider_microui_would_not_track_on_a_tap
12	launcher/tools/gfx_palette_gen.c:182	gfx_palette_gen_build_dither16
11	launcher/main/apps/cube/suite_cube_perf.c:232	run_perf_capture
11	launcher/main/apps/sand/sand.c:953	compute_settled_bit
11	launcher/main/apps/sand/sand_gas.c:507	gas_guard_row_list
11	launcher/main/apps/sand/sand_plants.c:668	shove_aside
11	launcher/main/apps/sand/sand_plants.c:645	stem_next
11	launcher/main/apps/sand/suite_sand_combustion.c:1569	test_a_resting_snowbank_stays_settled_over_a_floor_it_chills
11	launcher/main/apps/sand/suite_sand_dirt.c:747	test_a_shattered_pane_comes_back_as_cullet
11	launcher/main/apps/sand/suite_sand_dirt.c:654	test_moisture_is_conserved_as_it_spreads
11	launcher/main/apps/sand/suite_sand_dirt.c:549	test_only_water_wets_what_it_touches
11	launcher/main/apps/sand/suite_sand_extended_range.c:111	find_dropped_and_bed_extents
11	launcher/main/apps/sand/suite_sand_gunpowder.c:1219	test_gunpowder_moisture_never_multiplies_as_it_spreads
11	launcher/main/apps/sand/suite_sand_gunpowder.c:909	test_soaked_gunpowder_never_lights_beside_lava
11	launcher/main/apps/sand/suite_sand_icons.c:169	test_every_icon_blocks_matches_actual_run_length
11	launcher/main/apps/sand/suite_sand_icons.c:45	test_every_icon_is_non_empty
11	launcher/main/apps/sand/suite_sand_impulse.c:1902	test_a_chunk_dropped_on_flat_ground_still_settles_on_it
11	launcher/main/apps/sand/suite_sand_liquid_depth.c:2319	flash_test_paint
11	launcher/main/apps/sand/suite_sand_metal.c:455	test_heat_through_a_stone_wall_smelts_the_dirt_beyond_it
11	launcher/main/apps/sand/suite_sand_metal.c:668	test_the_rod_terminates_at_conduct_reach_not_the_far_wall
11	launcher/main/apps/sand/suite_sand_metal.c:247	test_wet_dirt_can_still_steam_before_spoiling_at_least_sometimes
11	launcher/main/apps/sand/suite_sand_motion.c:33	assert_looks_like
11	launcher/main/apps/sand/suite_sand_perf.c:56	build_mixed_gravity_flip_scene
11	launcher/main/apps/sand/suite_sand_perf.c:3130	count_bubbles_by_side
11	launcher/main/apps/sand/suite_sand_perf.c:111	liquid_near_cell_bound
11	launcher/main/apps/sand/suite_sand_perf.c:429	test_the_gas_random_walk_against_the_exhaustive_mover
11	launcher/main/apps/sand/suite_sand_reaction_encoding.c:985	pour_and_count
11	launcher/main/apps/sand/suite_sand_reaction_encoding.c:344	snow_float_scan
11	launcher/main/apps/sand/suite_sand_reaction_encoding.c:2266	test_the_boiler_end_to_end
11	launcher/main/apps/sand/suite_sand_roots.c:1482	bathe_ice_in_air
11	launcher/main/apps/sand/suite_sand_scenes.c:2193	census_gunpowder_basin_paint
11	launcher/main/apps/sand/suite_sand_scenes.c:1042	note_boiler_cell
11	launcher/main/apps/sand/suite_sand_scenes.c:2220	note_gunpowder_basin_aftermath_cell
11	launcher/main/apps/sand/suite_sand_seeds.c:465	test_a_growing_tree_does_not_shed_what_it_grows
11	launcher/main/apps/sand/suite_sand_seeds.c:1385	test_a_stem_that_wanders_still_hardens
11	launcher/main/apps/sand/suite_sand_two_core.c:439	tc_assert_forced_slide_does_not_double_move
11	launcher/main/apps/sand/tools/colour_lever1_counters.c:88	shade_frame
11	launcher/main/apps/sand/tools/grid_fingerprint.c:181	scene_fire_gas
11	launcher/main/apps/sand/tools/grid_fingerprint.c:450	scene_powder_keg
11	launcher/main/apps/sand/tools/shading_palette.c:2047	dp_pixel
11	launcher/main/gfx/gfx.c:1829	gather_and_send
11	launcher/main/gfx/gfx.c:1005	gfx_fill_rect_dither
11	launcher/main/ui/ui.c:279	propagate_repaint_over_overlaps
11	launcher/test/suites/suite_boot_anim.c:76	test_the_curve_meets_the_axis_at_every_known_zero
11	launcher/test/suites/suite_icons_system.c:40	test_all_icons_blocks_match_actual_run_length
11	launcher/tools/gfx_palette_gen.c:216	gfx_palette_gen_build_dither_cell
11	launcher/tools/gfx_palette_gen.c:243	gfx_palette_gen_build_dither_checker2
10	launcher/main/apps/sand/app_sand.c:854	update_local_depth_gravity
10	launcher/main/apps/sand/sand.c:1108	finalize_settling_range
10	launcher/main/apps/sand/sand.c:77	random_cell
10	launcher/main/apps/sand/sand.c:1355	sweep_guard_row_list
10	launcher/main/apps/sand/sand_plants.c:490	step_one_drinking_cell
10	launcher/main/apps/sand/suite_palette.c:127	check_hit_round_trips_against_tile_rect_for_every_tile
10	launcher/main/apps/sand/suite_sand_colour_modes.c:312	measure_mode_frame
10	launcher/main/apps/sand/suite_sand_colour_modes.c:156	paint_full_frame_full
10	launcher/main/apps/sand/suite_sand_combustion.c:1182	snow_cover_skin_census
10	launcher/main/apps/sand/suite_sand_combustion.c:289	step_until_gas_escapes
10	launcher/main/apps/sand/suite_sand_combustion.c:322	test_gas_disperses_across_a_ceiling
10	launcher/main/apps/sand/suite_sand_dirt.c:157	test_water_falling_onto_a_sleeping_dirt_bed_still_wets_it
10	launcher/main/apps/sand/suite_sand_dune_blast.c:481	carve_circle_empty
10	launcher/main/apps/sand/suite_sand_extended_range.c:43	test_heat_through_a_pan_lights_oil_rather_than_boiling_it
10	launcher/main/apps/sand/suite_sand_extended_range.c:181	test_hot_gas_warms_what_it_touches
10	launcher/main/apps/sand/suite_sand_glass_thermal.c:537	test_a_frosted_pane_warms_back_to_room_temperature
10	launcher/main/apps/sand/suite_sand_glass_thermal.c:141	test_glass_forgets_a_fire_that_went_out
10	launcher/main/apps/sand/suite_sand_glass_thermal.c:316	test_glass_looks_different_at_the_shock_threshold
10	launcher/main/apps/sand/suite_sand_glass_thermal.c:277	test_the_shock_threshold_is_exact
10	launcher/main/apps/sand/suite_sand_gunpowder.c:547	test_a_detonating_two_by_two_leaves_no_lit_gunpowder_behind
10	launcher/main/apps/sand/suite_sand_impulse.c:2574	cell_is_airborne
10	launcher/main/apps/sand/suite_sand_impulse.c:2454	ejecta_count_outside
10	launcher/main/apps/sand/suite_sand_impulse.c:2498	ejecta_dirt_total
10	launcher/main/apps/sand/suite_sand_impulse.c:2132	test_detonating_empty_space_still_flashes_the_core
10	launcher/main/apps/sand/suite_sand_impulse.c:276	test_sand_displace_alone_never_creates_fire_or_smoke
10	launcher/main/apps/sand/suite_sand_liquid_depth.c:2725	shadow_test_build_scene
10	launcher/main/apps/sand/suite_sand_liquid_depth.c:2499	tremor_test_count_changed
10	launcher/main/apps/sand/suite_sand_locality.c:504	test_block_indices_stay_in_range_at_the_real_screens_partial_edge_blocks
10	launcher/main/apps/sand/suite_sand_materials.c:505	poured_height
10	launcher/main/apps/sand/suite_sand_materials.c:632	test_a_settled_pool_does_not_flicker
10	launcher/main/apps/sand/suite_sand_palette256.c:242	test_settled_scenes_map_and_expand_correctly_at_every_quality
10	launcher/main/apps/sand/suite_sand_perf.c:2316	landscape_scene_us_per_step
10	launcher/main/apps/sand/suite_sand_reaction_encoding.c:559	test_acid_fizzes_while_it_eats
10	launcher/main/apps/sand/suite_sand_reaction_encoding.c:398	test_glass_conducts_heat_like_stone
10	launcher/main/apps/sand/suite_sand_roots.c:1688	test_wet_sand_becomes_soil_wet_with_no_tone_of_its_own
10	launcher/main/apps/sand/suite_sand_scenes.c:530	build_thermal_shock_tile
10	launcher/main/apps/sand/suite_sand_scenes.c:749	count_distinct_cullet_tiles
10	launcher/main/apps/sand/suite_sand_scenes.c:1696	count_wet_earth_touching_columns
10	launcher/main/apps/sand/suite_sand_scenes.c:1995	gunpowder_basin_fill_interior
10	launcher/main/apps/sand/suite_sand_scenes.c:600	scan_shock_neighbors
10	launcher/main/apps/sand/suite_sand_scenes.c:248	test_the_four_liquid_scene_keeps_reacting_after_settling
10	launcher/main/apps/sand/suite_sand_scenes.c:729	tile_has_cullet
10	launcher/main/apps/sand/suite_sand_scenes.c:1645	wet_earth_scan
10	launcher/main/apps/sand/suite_sand_seeds.c:348	check_the_fall_flag_is_honest
10	launcher/main/apps/sand/suite_sand_seeds.c:1445	test_a_bare_trunk_in_wet_ground_buds_again
10	launcher/main/apps/sand/suite_sand_spawning.c:610	test_a_running_water_emitter_accumulates_mass_on_the_floor
10	launcher/main/apps/sand/suite_sand_swatch.c:39	test_the_same_spec_col_row_return_the_same_cell_every_call
10	launcher/main/apps/sand/suite_sand_two_core.c:491	test_two_core_step_never_double_moves_at_a_seam
10	launcher/main/apps/sand/tilt.c:102	tilt_update
10	launcher/main/apps/sand/tools/brush_screen_preview.c:201	draw_screen
10	launcher/main/apps/sand/tools/dump_reactions.c:1445	emit_regrow
10	launcher/main/apps/sand/tools/dump_reactions.c:1218	emit_transform
10	launcher/main/apps/sand/tools/dump_reactions.c:948	legibility_overrides_are_sound
10	launcher/main/apps/sand/tools/grid_fingerprint.c:274	scene_plant_bed
10	launcher/main/apps/sand/tools/grid_fingerprint.c:495	scene_snow_earth
10	launcher/main/gfx/gfx.c:761	gfx_clear
10	launcher/main/gfx/gfx.c:459	gfx_init
10	launcher/main/gfx/gfx.c:2542	gfx_mode_exit
10	launcher/test/suites/suite_boot_anim.c:1170	check_hue_is_fully_saturated
10	launcher/test/suites/suite_gfx.c:373	test_blit_dither_matches_per_pixel_covers_reference
10	launcher/test/suites/suite_gfx_color.c:249	test_coverage_is_monotonic_in_alpha_at_every_cell
10	launcher/test/suites/suite_gfx_target.c:129	test_the_union_of_all_bands_equals_the_full_target_render
10	launcher/test/suites/suite_icons_system.c:163	reference_blocks
9	launcher/main/apps/cube/ui/cube_menu_screen.c:13	cube_menu_screen_draw
9	launcher/main/apps/sand/sand.c:1414	run_sweep_guard_rows
9	launcher/main/apps/sand/sand.c:356	sand_spawn_cell
9	launcher/main/apps/sand/sand.c:1265	sweep_range
9	launcher/main/apps/sand/sand_gas.c:942	equalise_gas
9	launcher/main/apps/sand/sand_gas.c:851	equalise_gas_one_row
9	launcher/main/apps/sand/sand_gas.c:924	gas_row_audit
9	launcher/main/apps/sand/sand_gas.c:526	run_gas_guard_rows
9	launcher/main/apps/sand/sand_gas.c:546	step_gas_stripes
9	launcher/main/apps/sand/sand_gas.c:371	step_one_gas_row
9	launcher/main/apps/sand/sand_reactions.c:1462	find_lit_two_by_two
9	launcher/main/apps/sand/suite_row_runs.c:120	all_covered
9	launcher/main/apps/sand/suite_sand_combustion.c:1547	count_loose_snow
9	launcher/main/apps/sand/suite_sand_dirt.c:219	test_new_dirt_starts_dry_in_a_random_tone
9	launcher/main/apps/sand/suite_sand_dune_blast.c:900	mark_seen_bands_outside
9	launcher/main/apps/sand/suite_sand_glass_thermal.c:108	test_a_fire_held_long_enough_melts_glass_to_lava
9	launcher/main/apps/sand/suite_sand_glass_thermal.c:207	test_freshly_fused_glass_starts_cold
9	launcher/main/apps/sand/suite_sand_gunpowder.c:730	test_a_one_wide_lit_trail_never_detonates
9	launcher/main/apps/sand/suite_sand_gunpowder.c:1297	test_acid_dissolves_gunpowder
9	launcher/main/apps/sand/suite_sand_gunpowder.c:845	test_gunpowder_without_impulses_burns_to_fire
9	launcher/main/apps/sand/suite_sand_gunpowder.c:959	test_heat_dries_wet_gunpowder_one_level_with_steam
9	launcher/main/apps/sand/suite_sand_gunpowder.c:1407	test_plants_do_not_sprout_in_gunpowder
9	launcher/main/apps/sand/suite_sand_gunpowder.c:1113	test_water_wets_gunpowder_and_it_dries_out_slowly
9	launcher/main/apps/sand/suite_sand_impulse.c:930	test_a_chunk_stacked_on_an_in_flight_chunk_waits_instead_of_settling_and_both_eventually_land
9	launcher/main/apps/sand/suite_sand_impulse.c:3157	test_shaking_spreads_a_pile_sideways
9	launcher/main/apps/sand/suite_sand_lava_burial.c:77	test_buried_lava_bursts_into_stone_and_fire
9	launcher/main/apps/sand/suite_sand_liquid_depth.c:2754	test_a_submerged_obstacle_casts_a_gravity_aligned_shadow
9	launcher/main/apps/sand/suite_sand_liquid_depth.c:1143	test_pouring_onto_a_settled_pool_redirties_a_bounded_band_below
9	launcher/main/apps/sand/suite_sand_locality.c:335	test_sand_pushing_water_up_wakes_the_dry_row_it_lands_in
9	launcher/main/apps/sand/suite_sand_metal.c:550	test_sand_still_becomes_glass_beside_the_new_dirt_branch
9	launcher/main/apps/sand/suite_sand_metal.c:141	test_saturated_dirt_smelts_roughly_eight_times_slower
